Article_Link,Author,Date_of_Published,Source,Title
https://www.philstar.com/lifestyle/2025/03/26/2431175/sveiki-hellolithuania,PERSONAL CHOICE,"March 26, 2025 | 12:00am",Philstar,"Sveiki (Hello), Lithuania!"
/2025/3/19/female-motor-taxi-passenger-dies-in-tondo-road-accident,Diann Ivy C. Calucin,"Mar 19, 2025 06:37 AM",Manila Bulletin,Female motor taxi passenger dies in Tondo road accident
/2025/3/22/akala-mo-sinong-santo-bato-hits-back-at-castro-asks-if-duterte-s-arrest-made-the-country-better,Dhel Nazario,"Mar 22, 2025 07:55 AM",Manila Bulletin,"'Akala niyo mga santo kayo': Bato hits back at Castro, asks if Duterte's arrest made the country better"
/2025/3/10/in-pictures-meet-the-15-housemates-of-pinoy-big-brother-celebrity-collab-edition,Robert Requintina,"Mar 10, 2025 01:51 AM",Manila Bulletin,IN PICTURES: Meet the 15 housemates of 'Pinoy Big Brother Celebrity Collab Edition'
https://www.philstar.com/headlines/2025/03/26/2431103/house-oks-polongs-travel-request-17-countries,Delon Porcalla,"March 26, 2025 | 12:00am",Philstar,House OKs Polong’s travel request to 17 countries
/2025/3/23/pmpc-reveals-partial-list-of-winners-for-38th-star-awards-for-television,Robert Requintina,"Mar 23, 2025 01:25 AM",Manila Bulletin,Winners for 38th PMPC Star Awards for Television  revealed
https://www.philstar.com/headlines/2025/03/26/2431105/marcos-slightly-affected-fake-news-says-palace,Helen Flores,"March 26, 2025 | 12:00am",Philstar,"Marcos ‘slightly affected’ by fake news, says Palace"
/2025/3/21/degamo-widow-laments-denial-of-ph-extradition-request-vs-teves,Glazyl Masculino,"Mar 21, 2025 10:04 AM",Manila Bulletin,Degamo widow laments denial   of PH extradition request vs Teves
https://www.philstar.com/headlines/2025/03/26/2431107/no-word-yet-whether-philippines-rejoining-rome-statute,Alexis Romero,"March 26, 2025 | 12:00am",Philstar,No word yet on whether Philippines rejoining Rome Statute
/2025/3/22/lto-summons-owner-of-viral-motorcycle-parked-in-antipolo-road,Aaron Recuenco,"Mar 22, 2025 07:39 AM",Manila Bulletin,'Yari ka boy': LTO summons owner of viral motorcycle parked in the middle of Antipolo road
https://www.philstar.com/headlines/2025/03/26/2431113/batos-security-pulled-out-where-he-palace,Cecille Suerte Felipe,"March 26, 2025 | 12:00am",Philstar,Bato’s security pulled out? Where is he? – Palace
/2025/3/17/police-stop-sharing-sensitive-photos-videos-of-dead-slovakian-tourist,Tara Yap,"Mar 17, 2025 09:13 AM",Manila Bulletin,"Police: Stop sharing sensitive photos,   videos of dead Slovakian tourist"
https://www.philstar.com/headlines/2025/03/26/2431118/pcg-china-reinstalls-floating-barriers-panatag,Mark Ernest Villeza,"March 26, 2025 | 12:00am",Philstar,PCG: China reinstalls floating barriers in Panatag
/2025/3/23/you-ll-end-up-like-ninoy-aquino-vp-sara-fears-for-father-s-life-if-he-comes-home,Raymund Antonio,"Mar 23, 2025 03:34 PM",Manila Bulletin,"‘You could end up like Ninoy Aquino if you return to PH,' VP Sara warns her father, who continues to yearn to come home"
https://www.philstar.com/headlines/2025/03/26/2431120/honeylet-kitty-visit-rody-80th-birthday,Neil Jayson Servallos,"March 26, 2025 | 12:00am",Philstar,"Honeylet, Kitty to visit Rody on 80th birthday"
/2025/3/21/father-nabbed-for-repeatedly-raping-young-daughter-in-marikina,Manila Bulletin,"Mar 21, 2025 05:04 AM",Manila Bulletin,Father nabbed for repeatedly raping young daughter in Marikina
https://www.philstar.com/sports/2025/03/26/2431146/end-or-extend,SPORTING CHANCE,"March 26, 2025 | 12:00am",Philstar,To end or extend?
/2025/3/22/china-sponsoring-seminars-for-pro-duterte-vloggers,Ellson Quismorio,"Mar 22, 2025 01:04 AM",Manila Bulletin,"China 'sponsoring' seminars for pro-Duterte vloggers, PCO chief-turned-Marcos critic admits to House"
https://www.philstar.com/sports/2025/03/26/2431150/pacman-stage-thrilla-celebration,Joaquin Henson,"March 26, 2025 | 12:00am",Philstar,Pacman to stage ‘Thrilla’ celebration
/2025/3/17/netizens-gush-over-vp-sara-duterte-s-bodyguard-ang-gwapo-mo-sir,Robert Requintina,"Mar 17, 2025 10:40 AM",Manila Bulletin,Netizens gush over VP Sara Duterte's bodyguard: 'Ang gwapo mo sir'
https://www.philstar.com/sports/2025/03/26/2431153/lady-bulldogs-risk-perfect-slate,John Bryan Ulanday,"March 26, 2025 | 12:00am",Philstar,Lady Bulldogs risk perfect slate
/2025/3/21/torre-shoots-down-rumored-mass-resignation-of-cops-after-duterte-arrest,Ellson Quismorio,"Mar 21, 2025 06:47 AM",Manila Bulletin,Torre shoots down rumored mass resignation of cops after Duterte arrest
https://www.philstar.com/sports/2025/03/26/2431155/de-minaur-zverev-advance-gauff-exits,,"March 26, 2025 | 12:00am",Philstar,"De Minaur, Zverev advance; Gauff exits"
/2025/3/24/prosecution-defense-in-duterte-s-icc-case-to-begin-pre-disclosure-process-in-april,Raymund Antonio,"Mar 24, 2025 01:32 AM",Manila Bulletin,"Prosecution, defense in Duterte’s ICC case to begin evidence disclosure in April"
https://www.philstar.com/sports/2025/03/26/2431156/ncraa-31st-season-ready-unfold,,"March 26, 2025 | 12:00am",Philstar,NCRAA 31st season ready to unfold
/2025/3/16/kris-aquino-opens-up-about-breakup-with-her-doctor-boyfriend-he-did-not-love-me,Robert Requintina,"Mar 16, 2025 05:08 AM",Manila Bulletin,Kris Aquino opens up about breakup with her doctor-boyfriend: 'He did not love me'
/2025/3/18/did-you-know-a-filipina-was-the-first-woman-to-earn-a-degree-from-harvard-law-school,John Legaspi,"Mar 18, 2025 00:49 AM",Manila Bulletin,Did you know? The first woman to earn a degree from Harvard Law School was a Filipina
https://www.philstar.com/sports/2025/03/26/2431160/rice-vanguards-tame-tamaraws-take-solo-lead,,"March 26, 2025 | 12:00am",Philstar,"Rice Vanguards tame Tamaraws, take solo lead"
https://www.philstar.com/sports/2025/03/26/2431162/angels-punch-last-ticket-pvl-semis,Joey Villar,"March 26, 2025 | 12:00am",Philstar,Angels punch last ticket to PVL semis
https://www.philstar.com/sports/2025/03/26/2431166/dream-match,John Bryan Ulanday,"March 26, 2025 | 12:00am",Philstar,Dream Match
https://www.philstar.com/sports/2025/03/26/2431169/suarez-gets-crack-wbo-champ,Dino Maragay,"March 26, 2025 | 12:00am",Philstar,Suarez gets crack at WBO champ
https://www.philstar.com/sports/2025/03/26/2431172/lakers-lose-three-row,,"March 26, 2025 | 12:00am",Philstar,Lakers lose three in a row
